date;value;country;indicator;frequency
1950-03-01;70207.0;US;NGDP_SA_XDC;Q
1950-06-01;72595.8;US;NGDP_SA_XDC;Q
1950-09-01;77038.3;US;NGDP_SA_XDC;Q
1950-12-01;79986.3;US;NGDP_SA_XDC;Q
1951-03-01;84000.0;US;NGDP_SA_XDC;Q
1951-06-01;86022.5;US;NGDP_SA_XDC;Q
1951-09-01;87846.3;US;NGDP_SA_XDC;Q
1951-12-01;89044.5;US;NGDP_SA_XDC;Q
1952-03-01;89955.0;US;NGDP_SA_XDC;Q
1952-06-01;90257.5;US;NGDP_SA_XDC;Q
1952-09-01;91925.3;US;NGDP_SA_XDC;Q
1952-12-01;95203.0;US;NGDP_SA_XDC;Q
1953-03-01;96995.0;US;NGDP_SA_XDC;Q
1953-06-01;97937.3;US;NGDP_SA_XDC;Q
1953-09-01;97792.8;US;NGDP_SA_XDC;Q
1953-12-01;96492.5;US;NGDP_SA_XDC;Q
1954-03-01;96336.3;US;NGDP_SA_XDC;Q
1954-06-01;96530.3;US;NGDP_SA_XDC;Q
1954-09-01;97749.0;US;NGDP_SA_XDC;Q
1954-12-01;99933.5;US;NGDP_SA_XDC;Q
1955-03-01;103268.3;US;NGDP_SA_XDC;Q
1955-06-01;105383.0;US;NGDP_SA_XDC;Q
1955-09-01;107555.3;US;NGDP_SA_XDC;Q
1955-12-01;109273.0;US;NGDP_SA_XDC;Q
1956-03-01;109936.5;US;NGDP_SA_XDC;Q
1956-06-01;111502.5;US;NGDP_SA_XDC;Q
1956-09-01;112797.8;US;NGDP_SA_XDC;Q
1956-12-01;115115.8;US;NGDP_SA_XDC;Q
1957-03-01;117444.8;US;NGDP_SA_XDC;Q
1957-06-01;118006.3;US;NGDP_SA_XDC;Q
1957-09-01;119872.5;US;NGDP_SA_XDC;Q
1957-12-01;118716.0;US;NGDP_SA_XDC;Q
1958-03-01;116885.0;US;NGDP_SA_XDC;Q
1958-06-01;117994.5;US;NGDP_SA_XDC;Q
1958-09-01;121460.3;US;NGDP_SA_XDC;Q
1958-12-01;124888.8;US;NGDP_SA_XDC;Q
1959-03-01;127582.5;US;NGDP_SA_XDC;Q
1959-06-01;130663.3;US;NGDP_SA_XDC;Q
